"method","mean_us","median_us","min_us","max_us","n_eval","source_file"
"fe_plm_100",5167.47384,4990.8795,4470.738,10283.681,50,"econometrics_fe.csv"
"fe_lfe_100",9268.5925,8206.3935,5925.293,15614.417,50,"econometrics_fe.csv"
"fe_plm_1000",6438.4714,6431.1625,5484.04,11798.743,50,"econometrics_fe.csv"
"fe_lfe_1000",8122.73394,7972.028,7320.656,9771.789,50,"econometrics_fe.csv"
"fe_plm_5000",12014.37832,11123.886,10484.407,24192.474,50,"econometrics_fe.csv"
"fe_lfe_5000",32314.9185,29852.9045,20863.154,57893.242,50,"econometrics_fe.csv"
"hdfe_100",6414.14634,6370.407,5962.057,7240.634,50,"econometrics_hdfe.csv"
"hdfe_1000",6953.38786,6844.6105,6337.626,8469.621,50,"econometrics_hdfe.csv"
"hdfe_5000",17488.9382,16863.322,10972.122,39267.425,50,"econometrics_hdfe.csv"
"logit_100",1143.39596,1088.991,1035.078,3180.376,50,"econometrics_logit.csv"
"logit_500",1676.71652,1529.942,1458.221,7449.616,50,"econometrics_logit.csv"
"logit_1000",2404.9733,2117.822,2024.937,8688.54,50,"econometrics_logit.csv"
"probit_100",1283.38528,1240.022,1187.287,2927.824,50,"econometrics_probit.csv"
"probit_500",2086.6099,1914.8025,1817.407,7785.24,50,"econometrics_probit.csv"
"probit_1000",2851.52164,2574.151,2476.705,8750.433,50,"econometrics_probit.csv"
"arima_100",2864.9871,2626.5825,2495.351,7243.247,20,"forecasting_arima.csv"
"arima_200",2901.653,2809.5915,2735.664,4123.772,20,"forecasting_arima.csv"
"arima_500",4343.95205,4287.791,4147.775,5191.724,20,"forecasting_arima.csv"
"changepoint_100",537.08185,320.0335,297.786,4342.793,20,"forecasting_changepoint.csv"
"changepoint_500",401.2339,363.0125,335.157,947.593,20,"forecasting_changepoint.csv"
"changepoint_1000",532.41175,488.1825,452.512,1095.453,20,"forecasting_changepoint.csv"
"mstl_100",2084.83235,1441.142,1291.432,12988.482,20,"forecasting_mstl.csv"
"mstl_200",1597.97015,1469.705,1392.636,2353.565,20,"forecasting_mstl.csv"
"mstl_500",1722.7111,1658.112,1576.226,2420.501,20,"forecasting_mstl.csv"
"dbscan_100",331.22548,105.1955,96.421,11078.597,50,"ml_dbscan.csv"
"dbscan_500",2307.17856,2299.5925,2243.579,2589.157,50,"ml_dbscan.csv"
"dbscan_1000",10393.51486,9637.6845,9519.417,18493.629,50,"ml_dbscan.csv"
"hierarchical_50",117.57908,109.355,102.254,331.765,50,"ml_hierarchical.csv"
"hierarchical_100",379.41382,373.2455,345.753,630.093,50,"ml_hierarchical.csv"
"hierarchical_200",1297.88054,1292.2255,1231.898,1578.122,50,"ml_hierarchical.csv"
"kmeans_100",354.93886,316.405,288.827,1799.191,50,"ml_kmeans.csv"
"kmeans_1000",1211.75778,1188.7715,950.457,2012.21,50,"ml_kmeans.csv"
"kmeans_5000",5950.68604,5952.0905,3860.219,9472.594,50,"ml_kmeans.csv"
"pca_100",389.36442,142.7435,135.859,11933.828,50,"ml_pca.csv"
"pca_1000",435.89216,419.075,401.606,1016.531,50,"ml_pca.csv"
"pca_5000",6083.81138,4995.012,1938.64,21906.093,50,"ml_pca.csv"
"ols_standard_100",825.33807,744.053,691.714,2890.895,100,"regression_ols.csv"
"ols_standard_1000",1007.80429,988.5725,893.147,1576.67,100,"regression_ols.csv"
"ols_standard_10000",2569.92199,2132.187,1968.88,7218.097,100,"regression_ols.csv"
"HC0",3326.75351,2883.303,2661.709,16559.853,100,"regression_robust_se.csv"
"HC1",3045.98558,2888.042,2680.882,8215.013,100,"regression_robust_se.csv"
"HC2",2954.44412,2847.9285,2645.446,7357.23,100,"regression_robust_se.csv"
"HC3",3451.34429,2886.463,2611.856,6633.966,100,"regression_robust_se.csv"
