"method_norm","n","r_method","r_median_us","r_mean_us","r_p25_us","r_p75_us","r_mem_bytes","rust_method","rust_median_us","rust_mean_us","rust_p25_us","rust_p75_us","rust_mem_bytes","speedup_median","speedup_mean","mem_ratio","module"
"Doubly_Robust",200,"Doubly_Robust",1095.9235,1292.77293,1049.995,1279.892,751152,"Doubly_Robust",24.152,33.73684,23.04075,45.12475,0,45.3760972176217,38.3193248093182,NA,"Causal"
"Doubly_Robust",1000,"Doubly_Robust",1865.8855,2465.70826,1838.765,1998.406,2488168,"Doubly_Robust",664.491,664.47374,662.891,666.08725,0,2.80799213232384,3.71076855497706,NA,"Causal"
"Synth",100,"Synth",898.547,920.134,896.466,926.243,229504,"SynthControl",10652.5335,10723.67206,10113.619,11160.916,73728,0.0843505444033572,0.0858040039691404,3.11284722222222,"Causal"
"Synth",300,"Synth",848.37,866.473,833.17,864.419,264312,"SynthControl",38142.52,38214.11123,36999.754,39245.921,40960,0.0222421067092578,0.0226741633420425,6.4529296875,"Causal"
"Bacon",500,"Bacon",4002.436,5255.8044,3933.44725,4573.9295,2635904,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"Bacon",1000,"Bacon",6915.1565,8120.3857,6726.768,7175.409,5687552,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"CBPS",200,"CBPS",13342.911,14866.5348,13080.57825,14302.63425,9639808,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"CBPS",1000,"CBPS",65896.113,92441.9092,65675.82025,66449.71075,63042656,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"CBPS",5000,"CBPS",564193.9295,596961.7649,550765.54725,607004.9615,763567528,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"DiD",100,"DiD",166.3445,274.02673,164.47275,185.26425,25808,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"DiD",500,"DiD",180.7925,182.02246,179.112,183.176,121680,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"DiD",1000,"DiD",203.153,205.00557,198.677,208.525,241776,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"DoubleML",200,"DoubleML",128389.496,180726.575,128182.52,132372.229,31215056,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"DoubleML",500,"DoubleML",128050.327,126065.4832,123862.219,128098.968,17540192,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"DoubleML",1000,"DoubleML",132528.708,130453.304,126360.915,133270.375,25753960,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"Doubly_Robust",500,NA,NA,NA,NA,NA,NA,"Doubly_Robust",345.922,346.07552,344.422,347.134,0,NA,NA,NA,"Causal"
"Doubly_Robust",5000,"Doubly_Robust",8479.0335,9565.02185,7217.88125,11219.925,12380008,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"ETWFE",500,"ETWFE",2545.5995,2590.8925,2507.58725,2581.756,4224176,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"ETWFE",1000,"ETWFE",2725.416,3373.3635,2663.29525,2874.60475,217720,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"ETWFE",2000,"ETWFE",3133.969,3021.75135,2826.04075,3162.94575,364120,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"GSynth",400,"GSynth",2626.423,2783.147,2610.84,2893.288,3309584,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"GSynth",1000,"GSynth",4077.708,4226.9054,4041.964,4294.317,1948328,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"IPW",200,"IPW",496.049,614.30103,482.31375,512.697,419640,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"IPW",1000,"IPW",977.043,1431.84166,950.343,1650.125,2022584,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"IPW",5000,"IPW",7467.334,9010.43721,6919.957,9915.24925,10063928,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"LTMLE",200,"LTMLE",9969.342,10385.5922,9966.014,10244.414,4943752,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"LTMLE",500,"LTMLE",10365.871,10627.1448,10138.605,10766.976,5393056,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"LTMLE",1000,"LTMLE",18786.503,17496.0898,14091.001,19169.56,10085088,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"Matching",200,"Matching",946.555,1004.8296,920.775,997.391,1853536,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"Matching",1000,"Matching",2372.1115,2514.3656,2260.079,2688.85675,2859296,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"Matching",5000,"Matching",10482.185,11818.2714,10205.08025,12720.30475,11682776,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"Mediation",200,"Mediation",85563.545,82886.3378,78898.982,85624.121,28182992,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"Mediation",500,"Mediation",111438.005,113294.6596,108241.387,117427.142,66237952,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"Mediation",1000,"Mediation",352599.858,268881.5126,124355.114,353329.172,131760240,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"RD",500,"RD",5287.561,5884.0804,5072.004,5601.406,2652840,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
