"method","variant","n","module","r_median_us","rust_median_us","speedup","outputs_agree","max_abs_diff","max_rel_diff","n_outputs_compared","mismatch_details"
"DiD","canonical",1000,"causal",1085.769094,87.2665,12.4419919900535,TRUE,9.84803088500963e-07,2.62495159128119e-05,2,""
"IV_2SLS","2sls",1000,"causal",3367.764468,60.3335,55.8191463780487,TRUE,4.0739639434878e-07,1.28051671962527e-05,6,""
"Hurdle","Poisson",1000,"discrete",15781.418653,1288.228,12.2504856694622,TRUE,1.3214962832353e-06,1.29319730219604e-05,7,""
"Logit","MLE",100,"discrete",1552.781556,48.809,31.8134269499478,TRUE,3.76657413370118e-07,2.05789987089613e-06,7,""
"Logit","MLE",1000,"discrete",2705.294988,462.083,5.85456506298652,TRUE,4.42765889480112e-07,6.78682826959506e-06,7,""
"Multinomial_Logit","MLE",1000,"discrete",11714.443972,1505.3645,7.7817990074829,TRUE,2.1802518700451,67.3441665128075,8,""
"NegBin","MLE",1000,"discrete",17117.911368,495.297,34.5609025857213,TRUE,12047.8005352558,0.997983689778267,8,""
"Ordered_Logit","MLE",1000,"discrete",27917.23155,8646.947,3.228565128247,TRUE,1555.82143937372,5.67017492420449,5,""
"Poisson","GLM",1000,"discrete",3178.231884,878.1905,3.61906885123444,TRUE,3.22957899681273,0.614873350423732,5,""
"Probit","MLE",100,"discrete",1710.749988,69.017,24.7873710535086,TRUE,4.81409074215566e-07,4.07998448211103e-06,7,""
"Probit","MLE",1000,"discrete",3246.848006,744.5185,4.36100379775654,TRUE,7.45712409759569e-07,1.69468538454098e-05,7,""
"ZINB","EM",1000,"discrete",112972.789037,1994.3625,56.646065615955,TRUE,71882.955314,0.998610782239159,5,""
"ZIP","EM",1000,"discrete",32628.725574,1020.221,31.9820172041156,TRUE,0.263895574294111,0.0849848169320095,5,""
"DBSCAN","eps=1.5",100,"ml",184.469973,61.743,2.98770667120159,TRUE,0,0,2,""
"DBSCAN","eps=1.5",1000,"ml",9573.897056,5692.0195,1.68198599038531,TRUE,0,0,2,""
"factanal","varimax",100,"ml",5231.722957,1740.221,3.00635548990617,TRUE,1.06693279716338,528.5591522145,40,""
"factanal","varimax",1000,"ml",4836.433975,2120.268,2.28104842170895,TRUE,1.0170482801934,3773.9806961317,40,""
"Hierarchical","Ward",100,"ml",446.49851,228.2815,1.95591193329289,TRUE,0,0,1,""
"Hierarchical","Ward",1000,"ml",38377.847173,25251.9975,1.51979451023627,TRUE,0,0,1,""
"K_Medoids","PAM",100,"ml",684.150553,244.1155,2.80256908307748,TRUE,69.4044760105227,99.0000442340796,3,""
"K_Medoids","PAM",1000,"ml",59493.861103,38184.219,1.55807458319365,TRUE,669.372724481413,998.999652979605,3,""
"K-Means","k=3",100,"ml",703.34255,40.8445,17.2200063656061,TRUE,0.01,0.0303030303030303,3,""
"K-Means","k=3",1000,"ml",6442.110403,386.7905,16.6552963503499,TRUE,0,0,3,""
"MDS","classical",100,"ml",2121.3406,2938.3975,0.721937927050374,TRUE,1.21640704286996e-07,1.22555705181884e-07,3,""
"PCA","k=3",100,"ml",133.102061,10.307,12.9137538566023,TRUE,3.10236672376295e-06,0.00104456792045891,6,""
"PCA","k=3",1000,"ml",559.838139,34.2135,16.3630771186812,TRUE,4.73134955141386e-06,0.00165431802496988,6,""
"Silhouette","from_kmeans",100,"ml",149.946543,39.4945,3.79664365924369,TRUE,4.86883730776988e-07,5.61850291466823e-07,2,""
"Silhouette","from_kmeans",1000,"ml",9413.168533,4581.3205,2.05468456812834,TRUE,1.61744754145765e-07,1.8646970463136e-07,2,""
"SVM","linear",1000,"ml",2962.901548,7779.0785,0.38088078787224,TRUE,0,0,1,""
"Arellano_Bond","pgmm",100,"panel",19427.95713,19544.5185,0.994036109408375,TRUE,0.142345950831102,1.55255440727602,6,""
"Arellano_Bond","pgmm",1000,"panel",176153.26849,197734.2195,0.890858794878445,TRUE,0.0598110696655331,23.2185829446945,6,""
"FEGLM_Gaussian","fixest",100,"panel",16835.970571,27.022,623.046797831397,TRUE,0.0314766499473059,0.996252549493232,4,""
"FEGLM_Gaussian","fixest",1000,"panel",12467.682478,186.753,66.7602795028728,TRUE,0.0238456315109761,1.12538388168331,4,""
"FixedEffects","within",100,"panel",6546.532037,28.9915,225.808669334115,TRUE,4.93326868231114e-07,1.87555361833675e-05,5,""
"FixedEffects","within",1000,"panel",7465.411909,178.206,41.8920345499029,TRUE,2.82254984385055e-07,1.38501565468635e-05,5,""
"Hausman","phtest",100,"panel",26560.119528,122.5165,216.78810223929,TRUE,10.102418670766,11.3973644216218,2,""
"Hausman","phtest",1000,"panel",31808.187021,598.6355,53.1344817021376,TRUE,2.62887691401743,18.3479568814511,2,""
"HDFE","2-way",100,"panel",7015.76157,63.847,109.883965887199,TRUE,4.55710969848866e-07,1.48244544876889e-05,4,""
"HDFE","2-way",1000,"panel",7324.558974,286.9605,25.5246243786166,TRUE,4.40941174573162e-07,5.10067349592599e-05,4,""
"Panel_GLS","pggls",100,"panel",8055.189392,0.489,16472.7799427403,NA,NA,NA,0,"no outputs to compare"
"Panel_GLS","pggls",1000,"panel",13992.713997,2.7735,5045.14656462953,NA,NA,NA,0,"no outputs to compare"
"Panel_Unit_Root","LLC",1000,"panel",114728.798973,247.4465,463.650926454809,FALSE,44.3818538875336,2.0262374409815,2,"statistic: max_abs=4.44e+01; p_value: max_abs=1.00e+00"
"PMG","pmg",100,"panel",7997.326495,51.721,154.624359447806,TRUE,4.18596061035892e-07,8.16369794103383e-07,3,""
"PMG","pmg",1000,"panel",12852.949498,313.8025,40.9587224384764,TRUE,3.64532154240038e-07,1.34826148506516e-07,3,""
"PVCM","random",100,"panel",24812.839518,343.969,72.1368481403848,TRUE,0.00860111018253862,0.0329144685670608,3,""
"PVCM","random",1000,"panel",93281.811511,1037.9265,89.8732342906747,TRUE,0.00322446834422663,0.00631978555093436,3,""
"RandomEffects","GLS",100,"panel",19522.747491,71.709,272.249612893779,TRUE,0.357286010588328,0.44126598844528,7,""
"RandomEffects","GLS",1000,"panel",24371.681968,225.6705,107.996756190995,TRUE,0.796896952960912,0.939473299900396,7,""
"GLS","AR1",100,"regression",7227.329537,789.858,9.15016311412937,TRUE,0.229122722509162,12.9389384746534,4,""
"GLS","AR1",1000,"regression",414917.736955,812182.988,0.510867308334954,TRUE,0.0783440377339942,18.5561434708655,4,""
"LOESS","span=0.75",100,"regression",886.489637,42.3495,20.9327061004262,TRUE,0.0025736743268171,0.00503834901112747,2,""
"LOESS","span=0.75",1000,"regression",7116.260007,1749.3855,4.06786269064194,TRUE,8.82324270362611e-05,0.000119613996250573,2,""
"NLS","exp_decay",100,"regression",1541.758538,126.3105,12.2060995562523,TRUE,0.0454680021527669,0.0257293329133093,2,""
"NLS","exp_decay",1000,"regression",2097.29257,38447.8655,0.0545489988254355,TRUE,0.0026339999999978,0.00706637761265659,2,""
"OLS","HC1",100,"regression",2945.972024,67.5575,43.6068833808237,TRUE,4.84276804657569e-07,2.98310683201178e-05,12,""
"OLS","HC1",1000,"regression",5150.855926,336.238,15.319077338076,TRUE,4.09986229561385e-07,5.45832775321431e-05,12,""
"OLS","HC1",10000,"regression",29240.69803,1753.298,16.6775402869335,TRUE,3.89788110899403e-07,0.000117268954468683,12,""
"OLS_Bootstrap","pairs",1000,"regression",340361.802024,9930.1715,34.2755210243851,TRUE,0.000676303877849491,0.0810915920682842,12,""
"OLS_Clustered","entity",100,"regression",2901.465574,133.179,21.7862093423137,TRUE,0.3127232743213,0.551880569760118,6,""
"OLS_Clustered","entity",1000,"regression",2751.242951,546.3475,5.03570154709228,TRUE,0.349101142301651,0.709503252407651,6,""
"OLS_HAC","Newey-West",100,"regression",8755.386982,22.3175,392.310383421082,TRUE,0.00609178111016331,0.256668960569786,12,""
"OLS_HAC","Newey-West",1000,"regression",67308.593541,210.363,319.964031417122,TRUE,0.00053572667305837,0.0685686257594227,12,""
"OLS_HAC","Newey-West",10000,"regression",2312312.328548,7376.1595,313.484588904023,TRUE,4.95756303241271e-05,0.0196963171728753,12,""
"OLS_HC0","robust",100,"regression",4313.170037,73.6095,58.5952905127735,TRUE,4.84276804657569e-07,1.49951904936994e-05,12,""
"OLS_HC0","robust",1000,"regression",5053.559609,275.173,18.3650271247542,TRUE,4.17765983203901e-07,9.10165540749239e-05,12,""
"OLS_HC0","robust",10000,"regression",27575.593034,1686.94,16.3465167901644,TRUE,4.77211424283926e-07,0.000318801065126503,12,""
"OLS_HC2","robust",100,"regression",2899.753104,120.4995,24.0644409644853,TRUE,4.84276804657569e-07,2.02072859368459e-05,12,""
"OLS_HC2","robust",1000,"regression",5067.144055,348.86,14.5248639998853,TRUE,4.44165899051926e-07,5.67914459854145e-05,12,""
"OLS_HC2","robust",10000,"regression",28040.549078,1967.491,14.2519325770741,TRUE,4.00489260691649e-07,0.000159050540385881,12,""
"OLS_HC3","robust",100,"regression",2905.312518,130.9955,22.1787200170998,TRUE,4.84276804657569e-07,2.64584883152735e-05,12,""
"OLS_HC3","robust",1000,"regression",5002.840073,310.826,16.0953075772297,TRUE,4.97728156039282e-07,6.20144724693847e-05,12,""
"OLS_HC3","robust",10000,"regression",27549.548948,1889.1905,14.5827268070637,TRUE,4.09403527767884e-07,0.000282152672479589,12,""
"Quantile_Regression","median",1000,"regression",2451.598062,5926.2865,0.413682001705452,TRUE,0.0763095712446419,0.29477267589364,4,""
"Sensemakr","sensitivity",1000,"regression",5938.167393,143.1025,41.4959025383903,TRUE,0.00310931839692252,0.00571864428658072,2,""
"Smooth_Spline","GCV",100,"regression",550.319557,323.018,1.70368077630349,TRUE,1.66987160179454,12.4498991257566,2,""
"Smooth_Spline","GCV",1000,"regression",1935.701992,3385.3555,0.571786919276277,TRUE,17.856441204588,3.69784629064569,2,""
"Stepwise","both_AIC",1000,"regression",4363.820946,492.677,8.85736688743335,TRUE,4.01807189471651,0.00400333525733409,2,""
"ACF","correlation",100,"stats",135.551032,4.95,27.3840468686869,TRUE,0.00356821246382832,0.00421798953346982,2,""
"ACF","correlation",1000,"stats",197.687536,71.7405,2.75559183445892,TRUE,2.54538811137461e-05,2.62746214644306e-05,2,""
"ANOVA","one_way",1000,"stats",1573.003479,134.6415,11.6829022181125,TRUE,100.340940186873,0.104436623088477,2,""
"ANOVA_TwoWay","full",100,"stats",1537.418517,43.857,35.0552595252753,NA,NA,NA,0,"no common output keys"
"ANOVA_TwoWay","full",1000,"stats",1761.314983,389.0675,4.5270164765754,NA,NA,NA,0,"no common output keys"
"Ansari","test",100,"stats",116.761541,4.995,23.3756838838839,TRUE,282,0.780704974732904,2,""
"Ansari","test",1000,"stats",616.881356,62.965,9.79721045025014,TRUE,6015,0.700924304639004,2,""
"Bartlett","test",100,"stats",126.706087,0.596,212.594105704698,TRUE,17.0906770258907,0.265254753376174,2,""
"Bartlett","test",1000,"stats",159.217045,4.094,38.8903382999511,TRUE,55.7283403077632,0.0840026376735943,2,""
"Binom_Test","exact",100,"stats",91.430033,5.776,15.8292993421053,TRUE,3.82673191412497e-07,1.0393023161539e-06,2,""
"Binom_Test","exact",1000,"stats",146.884529,19.185,7.65621730518634,TRUE,4.63915025351739e-07,0.000268004058550976,2,""
"Box_Ljung","lag=10",100,"stats",297.718041,1.472,202.254103940217,TRUE,2.02436069685064e-07,5.40818498806018e-10,2,""
"Breusch_Godfrey","LM",100,"stats",2312.571509,25.4845,90.7442370460476,TRUE,4.8013910394773e-07,2.89989855679877e-06,2,""
"Breusch_Godfrey","LM",1000,"stats",2133.373055,116.894,18.250492369155,TRUE,3.35046436039654e-07,1.72380025230702e-06,2,""
"Breusch_Godfrey","LM",10000,"stats",8861.571492,1669.113,5.30915012464704,TRUE,2.97651232215222e-07,0.00135296014643283,2,""
"Breusch_Pagan","test",100,"stats",2172.743552,533.639,4.0715606468043,TRUE,2.93550957763955e-07,3.21492233574604e-08,2,""
"Breusch_Pagan","test",1000,"stats",2077.41803,2554.859,0.813124336802931,TRUE,3.56724298267164e-07,1.07598753142129e-06,2,""
"Breusch_Pagan","test",10000,"stats",9522.619075,65842.928,0.144626300261131,TRUE,3.37384750470626e-07,5.96009261121138e-07,2,""
"Cancor","canonical",100,"stats",348.211965,12.225,28.4835963190184,TRUE,0.325766898694706,1.92824111980373,2,""
"Cancor","canonical",1000,"stats",503.041549,117.7005,4.27391174209115,TRUE,0.120543305916078,2.1092811058125,2,""
"CCF","cross_correlation",100,"stats",923.048996,8.3805,110.142473122129,TRUE,0.0239947059235382,0.42218928675684,2,""
"Changepoint","PELT",100,"stats",281.877466,41.1305,6.8532467633508,TRUE,0,0,1,""
"Changepoint","PELT",1000,"stats",1015.332411,2456.8205,0.41327089667316,TRUE,48,0.125,9,""
"Chi_squared","gof",1000,"stats",30.267576,0.2535,119.398721893491,TRUE,0.0164336499362079,0.113961914358286,2,""
"Cor_Test","pearson",1000,"stats",122.612575,5.599,21.8990132166458,TRUE,0.0657444031515766,0.00105757311993862,3,""
"Durbin_Watson","test",100,"stats",2882.985049,475.689,6.0606510745466,TRUE,2.79219276588805e-07,1.34940625192432e-07,1,""
"Durbin_Watson","test",1000,"stats",2665.325417,4974.0175,0.535849625981412,TRUE,9.46800873258269e-08,4.94094600794198e-08,1,""
"Durbin_Watson","test",10000,"stats",8730.965958,7602.3895,1.14845022844462,TRUE,3.00036978595486e-07,1.50043246433404e-07,1,""
"Fisher","with_ci",100,"stats",575.900485,7.3865,77.9666262776687,TRUE,0.0464419999999999,0.0134475807268909,2,""
"Fisher","with_ci",1000,"stats",1177.831553,85.5095,13.7742771621867,TRUE,0.00478200000000006,0.00136815500492389,2,""
"Fligner","test",100,"stats",494.571053,16.915,29.2386079219628,TRUE,41.1978537953928,0.806680559696939,2,""
"Fligner","test",1000,"stats",2655.369462,227.6865,11.6623930799586,TRUE,15.6968307263757,0.0222169911540499,2,""
"Friedman","test",100,"stats",10714.64899,0.06,178577.483166667,NA,NA,NA,0,"no outputs to compare"
"Harvey_Collier","test",100,"stats",5092.347565,275.512,18.4832151231162,TRUE,3.28259243287388e-07,7.13388381577359e-07,2,""
"Harvey_Collier","test",1000,"stats",25271.764491,7114.182,3.55230783960826,TRUE,1.86826579205156,1.99999977738883,2,""
"Harvey_Collier","test",10000,"stats",229299.327009,702512.2135,0.326399061258456,TRUE,1.22547210678895,2.00000017428215,2,""
