"method","expr","mean_us","median_us","min_us","max_us","n_eval"
"fill_na_forward_10000","data.table",131.95652,112.791,81.713,249.712,100
"fill_na_forward_10000","dplyr",4213.84393,4028.123,3710.391,8075.754,100
"fill_na_mean_10000","data.table",1175.55488,1146.6255,910.494,4204.251,100
"fill_na_mean_10000","dplyr",1897.95773,1793.183,1652.288,5489.309,100
"fill_na_forward_1e+05","data.table",913.02426,840.229,739.827,4004.851,100
"fill_na_forward_1e+05","dplyr",5179.31966,4985.219,4407.469,8054.215,100
"fill_na_mean_1e+05","data.table",3936.18064,3643.1515,3128.765,8114.212,100
"fill_na_mean_1e+05","dplyr",9166.81797,7372.305,6960.415,115595.762,100
"fill_na_forward_1e+06","data.table",17783.18675,7134.3475,6939.021,117386.5,100
"fill_na_forward_1e+06","dplyr",23610.11018,14244.8725,10985.188,125691.191,100
"fill_na_mean_1e+06","data.table",51068.84049,30845.757,24248.638,150357.569,100
"fill_na_mean_1e+06","dplyr",89810.45195,69545.9015,63123.001,190686.562,100
