"method","expr","mean_us","median_us","min_us","max_us","n_eval"
"filter_numeric_10000","data.table",501.3261,421.191,244.738,7708.74,100
"filter_numeric_10000","dplyr",1392.49015,1339.3405,938.796,7558.879,100
"filter_string_10000","data.table",1127.9908,1051.859,838.029,4782.445,100
"filter_string_10000","dplyr",1180.10904,1064.9615,885.51,5443.247,100
"filter_numeric_1e+05","data.table",1935.75239,1663.878,1486.785,3957.698,100
"filter_numeric_1e+05","dplyr",2716.22499,2432.7975,2058.864,5717.919,100
"filter_string_1e+05","data.table",1535.73434,1371.1905,1134.068,4734.465,100
"filter_string_1e+05","dplyr",3658.68241,2437.3515,2128.527,107047.928,100
"filter_numeric_1e+06","data.table",22010.35922,17605.649,15222.235,125199.607,100
"filter_numeric_1e+06","dplyr",23972.94784,19303.2565,14850.936,125931.976,100
"filter_string_1e+06","data.table",5865.65324,5265.2105,4561.837,9835.659,100
"filter_string_1e+06","dplyr",17160.40114,15240.3285,14437.168,122382.344,100
