"method","expr","mean_us","median_us","min_us","max_us","n_eval"
"group_by_single_agg_10000","data.table",1144.76769,1111.0885,771.127,1838.361,100
"group_by_single_agg_10000","dplyr",4335.38395,4262.0825,3067.351,9195.732,100
"group_by_multi_agg_10000","data.table",1149.68186,1073.581,901.343,2078.307,100
"group_by_multi_agg_10000","dplyr",5123.9113,4814.626,4322.069,10925.886,100
"group_by_multi_key_10000","data.table",1832.17227,1832.1465,1391.645,5177.846,100
"group_by_multi_key_10000","dplyr",14296.69175,13255.8895,12089.456,21502.651,100
"group_by_single_agg_1e+05","data.table",2259.79552,2145.4185,1801.893,6154.799,100
"group_by_single_agg_1e+05","dplyr",4779.50961,4600.188,3971.604,9913.884,100
"group_by_multi_agg_1e+05","data.table",3187.10699,3095.2795,2612.998,6948.68,100
"group_by_multi_agg_1e+05","dplyr",7495.48009,7263.489,6451.793,11798.614,100
"group_by_multi_key_1e+05","data.table",2693.18774,2675.4025,1833.556,8289.83,100
"group_by_multi_key_1e+05","dplyr",16320.31442,15122.4675,13967.216,27497.127,100
"group_by_single_agg_1e+06","data.table",15753.67438,13634.8255,9782.303,129432.378,100
"group_by_single_agg_1e+06","dplyr",19247.99062,17260.074,14673.621,129625.148,100
"group_by_multi_agg_1e+06","data.table",20704.97013,19334.3095,15342.974,132522.75,100
"group_by_multi_agg_1e+06","dplyr",41277.35876,38475.9815,31960.074,151364.443,100
"group_by_multi_key_1e+06","data.table",18657.20421,15694.796,10513.649,132658.375,100
"group_by_multi_key_1e+06","dplyr",52684.81075,51076.7845,45662.136,167817.593,100
