"method","expr","mean_us","median_us","min_us","max_us","n_eval"
"lag_simple_10000","data.table",536.264,494.1385,353.219,4075.789,100
"lag_simple_10000","dplyr",1086.9075,1040.4985,916.488,1983.774,100
"lag_simple_1e+05","data.table",875.40612,736.335,554.625,1622.401,100
"lag_simple_1e+05","dplyr",2802.79349,1517.1445,1257.931,115270.81,100
"lag_simple_1e+06","data.table",4812.71413,2331.0645,1773.494,111059.342,100
"lag_simple_1e+06","dplyr",8981.02895,5557.021,5065.726,118171.749,100
"lag_grouped_100x100","data.table",1302.13423,1259.407,1007.245,1937.805,100
"lag_grouped_100x100","dplyr",7249.56598,6946.812,6268.231,12028.36,100
"lag_grouped_500x200","data.table",4728.88477,4496.1435,4084.648,12471.111,100
"lag_grouped_500x200","dplyr",20827.53223,19986.2965,19218.785,26120.069,100
"lag_grouped_1000x1000","data.table",71794.13686,48249.8565,35784.79,171550.623,100
"lag_grouped_1000x1000","dplyr",62266.2602,49690.4985,44432.056,169673.552,100
