"method","expr","mean_us","median_us","min_us","max_us","n_eval"
"pivot_1000","data.table",2972.6507,2757.0085,2251.628,8059.054,100
"pivot_1000","dplyr",7613.68263,7103.0755,5891.655,13456.914,100
"pivot_10000","data.table",9604.15037,9115.5935,8396.641,18011.244,100
"pivot_10000","dplyr",11380.57812,10629.242,9602.568,18481.85,100
"pivot_1e+05","data.table",74560.9146,65952.5235,58092.115,195195.02,100
"pivot_1e+05","dplyr",73620.74941,61112.9325,54066.222,211772.302,100
"melt_10000","data.table",194.26597,197.4865,115.803,446.39,100
"melt_10000","dplyr",4082.17286,3960.81,3664.409,8468.048,100
"melt_1e+05","data.table",1674.42804,911.776,669.641,7990.827,100
"melt_1e+05","dplyr",10633.16184,9605.836,8762.863,16692.694,100
"melt_1e+06","data.table",23545.19487,7568.855,4744.959,151955.795,100
"melt_1e+06","dplyr",113989.61643,83125.1935,57718.721,250472.223,100
