"method","expr","mean_us","median_us","min_us","max_us","n_eval"
"sort_single_10000","data.table",1934.38807,1885.975,1591.553,10689.847,100
"sort_single_10000","dplyr",3385.41335,3249.506,2737.759,9775.738,100
"sort_multi_10000","data.table",1730.72442,1705.6645,1502.67,2577.212,100
"sort_multi_10000","dplyr",4299.37242,4160.088,3568.956,7924.842,100
"sort_single_1e+05","data.table",9320.4223,9101.578,7295.782,14574.277,100
"sort_single_1e+05","dplyr",9510.22806,9443.948,7636.077,13768.614,100
"sort_multi_1e+05","data.table",7080.02264,6665.864,5647.298,11745.537,100
"sort_multi_1e+05","dplyr",11727.09749,11276.7585,8997.087,17879.44,100
"sort_single_1e+06","data.table",86194.52752,68447.5285,53723.082,202732.566,100
"sort_single_1e+06","dplyr",114422.21371,97770.284,79562.689,227045.028,100
"sort_multi_1e+06","data.table",85796.5143,72328.343,58558.975,188740.078,100
"sort_multi_1e+06","dplyr",114647.21941,100157.577,91458.321,222087.576,100
