"method","n","iterations","time_min_us","time_p25_us","time_median_us","time_p75_us","time_max_us","time_mean_us","time_std_us","itr_per_sec","mem_alloc_bytes"
"OLS",100,100,0.00791624188423157,0.00908039510250092,0.0100117176771164,0.0130385160446167,0.159023329615593,0.0164646189659834,0.0196878624810967,99882960.372093,479392
"OLS+HC1",100,100,0.0080326572060585,0.00905129127204418,0.0100117176771164,0.0110594555735588,1.29302497953176,0.0290980096906424,0.129269223748172,99882960.372093,583776
"OLS",1000,100,0.00698491930961609,0.00908039510250092,0.0100117176771164,0.0110594555735588,0.300118699669838,0.0144750811159611,0.0305258941170243,99882960.372093,370648
"OLS+HC1",1000,100,0.00617001205682755,0.00814907252788544,0.00919681042432785,0.0101281329989433,0.116066075861454,0.0107160303741693,0.0107981110204883,108733349.265823,1059336
"OLS",10000,100,0.00791624188423157,0.00977888703346252,0.0100117176771164,0.0119907781481743,0.170082785189152,0.0127032399177551,0.0166180972005792,99882960.372093,3733528
"OLS+HC1",10000,100,0.00686850398778915,0.00884756445884705,0.00989530235528946,0.0108557287603617,0.0769505277276039,0.0104028731584549,0.00683291557952043,101058054.023529,10578216
"FE_plm",100,100,0.00896397978067398,0.0100117176771164,0.0109430402517319,0.0129221007227898,0.091036781668663,0.0126624945551157,0.00889227317553255,91382282.893617,1299088
"FE_lfe",100,100,0.00791624188423157,0.00896397978067398,0.0100117176771164,0.0110594555735588,0.0890577211976051,0.011043157428503,0.00814724159466992,99882960.372093,1650456
"HDFE",100,100,0.00791624188423157,0.00908039510250092,0.0100117176771164,0.0110594555735588,0.167987309396267,0.011911615729332,0.0162110956513981,99882960.372093,77480
"FE_plm",1000,100,0.00884756445884705,0.00998261384665966,0.0109430402517319,0.0119907781481743,0.0889413058757782,0.0121258199214935,0.00865665827189301,91382282.893617,1038536
"FE_lfe",1000,100,0.00791624188423157,0.00896397978067398,0.0100117176771164,0.0109721440821886,0.222004018723965,0.0123400241136551,0.0215102775049014,99882960.372093,518768
"HDFE",1000,100,0.00791624188423157,0.00896397978067398,0.0100117176771164,0.0110594555735588,0.211992301046848,0.0125751830637455,0.0209826018887959,99882960.372093,598488
"FE_plm",5000,100,0.0080326572060585,0.00908039510250092,0.0100117176771164,0.0109430402517319,0.160071067512035,0.0115216244012117,0.015111655226099,99882960.372093,5069824
"FE_lfe",5000,100,0.0200234353542328,0.0389991328120232,0.0459840521216393,0.049942173063755,0.0960426405072212,0.0453274697065353,0.0102268076848753,21746669.8531646,2594480
"HDFE",5000,100,0.0220024958252907,0.0400177668780088,0.0455183908343315,0.0513391569256783,0.118045136332512,0.0457430724054575,0.0113394032849172,21969142.1790281,3009840
"Logit",100,100,0.00791624188423157,0.00896397978067398,0.0100117176771164,0.0109721440821886,0.168918631970882,0.0115565489977598,0.0159444639536795,99882960.372093,505456
"Probit",100,100,0.0080326572060585,0.00896397978067398,0.0100117176771164,0.0109430402517319,0.171945430338383,0.0120373442769051,0.0169450521352272,99882960.372093,191440
"Logit",500,100,0.00989530235528946,0.0109430402517319,0.0119907781481743,0.0121071934700012,0.442028976976871,0.016186386346817,0.0430456634692256,83397423.223301,977304
"Probit",500,100,0.00710133463144302,0.00908039510250092,0.0100117176771164,0.0110594555735588,0.176951289176941,0.0121805351227522,0.0169700345489145,99882960.372093,1046120
"Logit",1000,100,0.00698491930961609,0.00905129127204418,0.0100117176771164,0.0110594555735588,0.0960426405072212,0.0109535176306963,0.00872130661223403,99882960.372093,1937400
"Probit",1000,100,0.00698491930961609,0.00896397978067398,0.0100117176771164,0.0110594555735588,0.197091139853001,0.0121770426630974,0.0188420347937479,99882960.372093,2074216
