"method","expr","mean_us","median_us","min_us","max_us","n_eval"
"replace_literal_10000","stringi",750.55263,735.207,723.077,1239.982,100
"replace_literal_10000","stringr",1101.48481,797.8925,772.22,29775.909,100
"replace_literal_10000","base_r",642.57933,637.938,617.619,743.225,100
"regex_replace_10000","stringi",9299.46995,9402.964,8132.59,10838.817,100
"regex_replace_10000","stringr",9511.32202,9568.4685,8328.389,13190.169,100
"regex_replace_10000","base_r",3281.41623,3360.2335,2782.193,3944.986,100
"replace_literal_1e+05","stringi",14221.50531,13677.3745,11859.252,61733.813,100
"replace_literal_1e+05","stringr",14926.41466,13882.492,12050.151,65315.518,100
"replace_literal_1e+05","base_r",12295.50612,11713.719,10080.089,59732.479,100
"regex_replace_1e+05","stringi",106519.43092,105563.1805,102129.872,152592.057,100
"regex_replace_1e+05","stringr",106406.43162,105688.8435,101956.775,155041.913,100
"regex_replace_1e+05","base_r",41702.06403,40528.053,37857.308,98757.815,100
