firm_id,year,quarter,revenue,cost_of_goods_sold,gross_profit,operating_expenses,rd_expenses,sga_expenses,operating_income,interest_expense,tax_expense,net_income
ACME,2022,Q1,1200000,720000,480000,280000,80000,200000,200000,35000,41250,123750
ACME,2022,Q2,1350000,810000,540000,300000,85000,215000,240000,36000,51000,153000
ACME,2022,Q3,1280000,768000,512000,290000,82000,208000,222000,35500,46625,139875
ACME,2022,Q4,1450000,870000,580000,320000,90000,230000,260000,36500,55875,167625
BETA,2022,Q1,800000,480000,320000,180000,40000,140000,140000,22500,29375,88125
BETA,2022,Q2,850000,510000,340000,190000,42000,148000,150000,23250,31688,95063
BETA,2022,Q3,820000,492000,328000,185000,41000,144000,143000,22800,30050,90150
BETA,2022,Q4,900000,540000,360000,200000,45000,155000,160000,23750,34063,102188
GAMMA,2022,Q1,2500000,1500000,1000000,600000,150000,450000,400000,62500,84375,253125
GAMMA,2022,Q2,2700000,1620000,1080000,650000,160000,490000,430000,63750,91563,274688
GAMMA,2022,Q3,2600000,1560000,1040000,620000,155000,465000,420000,63000,89250,267750
GAMMA,2022,Q4,2900000,1740000,1160000,700000,170000,530000,460000,66250,98438,295313
